state,postcode,country,state_ok,postcode_state_country,Latitude,Longitude,dist_to_rch,km_to_rch,km_to_albury,km_to_austin,km_to_barwon,km_to_bendigo,km_to_monash,km_to_sunshine,km_to_northern,min_distance,closest_hosp,TravelDuration,TravelDuration_min
NSW,2121,Australia,New South Wales,2121 New South Wales Australia,-33.76921463,151.0807953,711.1115011,711.1115011,464.2728896,700.9871194,775.9353969,700.1879692,708.0148817,718.1311222,697.2315268,464.2728896,Albury,30759,512.65
NSW,2122,Australia,New South Wales,2122 New South Wales Australia,-33.78326416,151.0928345,710.9375355,710.9375355,464.2704999,700.8062322,775.7587323,700.3674181,707.7859623,717.9840732,697.0822765,464.2704999,Albury,30846,514.1
NSW,2131,Australia,New South Wales,2131 New South Wales Australia,-33.88871002,151.1261902,705.7300503,705.7300503,460.1237809,695.5603968,770.5273737,697.2649471,702.2644859,712.9308547,692.0193358,460.1237809,Albury,30351,505.85
NSW,2136,Australia,New South Wales,2136 New South Wales Australia,-33.89371872,151.0827789,702.2951685,702.2951685,456.4943302,692.1328798,767.0983178,693.4936162,698.8930935,709.4662509,688.5561914,456.4943302,Albury,29889,498.15
NSW,2143,Australia,New South Wales,2143 New South Wales Australia,-33.88829803,151.0263062,698.6906639,698.6906639,452.5354468,688.5418075,763.5028679,689.2421452,695.401455,705.8080375,684.9010944,452.5354468,Albury,29885,498.0833333
NSW,2145,Australia,New South Wales,2145 New South Wales Australia,-33.81476974,150.9536285,698.9097402,698.9097402,451.7778038,688.799771,763.7378052,687.483288,695.9303917,705.8756722,684.9808009,451.7778038,Albury,29875,497.9166667
NSW,2148,Australia,New South Wales,2148 New South Wales Australia,-33.78594208,150.8997498,697.275057,697.275057,449.659097,687.1870262,762.1060106,684.8139157,694.4636399,704.1589291,683.2725354,449.659097,Albury,29614,493.5666667
NSW,2151,Australia,New South Wales,2151 New South Wales Australia,-33.783741,151.0145874,705.4252692,705.4252692,458.3636104,695.3111711,770.252336,694.0871644,702.4114343,712.4060844,691.5098742,458.3636104,Albury,30488,508.1333333
NSW,2153,Australia,New South Wales,2153 New South Wales Australia,-33.75546646,150.9758453,704.7939644,704.7939644,457.3283461,694.6977292,769.624315,692.5928516,701.9177671,711.7073712,690.8178388,457.3283461,Albury,30436,507.2666667
NSW,2164,Australia,New South Wales,2164 New South Wales Australia,-33.84521103,150.9173126,694.1576692,694.1576692,447.0762407,684.0463762,758.9854217,682.8822759,691.1698538,701.1292596,680.2338105,447.0762407,Albury,29703,495.05
NSW,2165,Australia,New South Wales,2165 New South Wales Australia,-33.87047195,150.9463959,694.3566213,694.3566213,447.6270909,684.2307157,759.1799358,683.8068808,691.2541608,701.3842849,680.4838874,447.6270909,Albury,29876,497.9333333
NSW,2176,Australia,New South Wales,2176 New South Wales Australia,-33.87094116,150.8840942,689.9659201,689.9659201,442.9152112,679.8540732,754.7935341,678.7945253,686.9754079,696.9401773,676.0444408,442.9152112,Albury,29336,488.9333333
NSW,2196,Australia,New South Wales,2196 New South Wales Australia,-33.93050766,151.06073,698.1135418,698.1135418,452.5169153,687.9449122,762.911707,689.7279577,694.659522,705.3110761,684.3996765,452.5169153,Albury,29506,491.7666667
NSW,2207,Australia,New South Wales,2207 New South Wales Australia,-33.94741821,151.1210022,701.2053617,701.2053617,456.1031336,691.0198068,765.9878781,693.6953814,697.6043969,708.4729555,687.5587942,456.1031336,Albury,29767,496.1166667
